,Hour,Minute,PM25,PM10,Temp,RH
200,5,30,61,87,28.8,88
201,5,45,64,98,28.7,88
202,6,0,64,98,28.8,88
203,6,15,64,98,29,89
204,6,30,64,98,29,90
205,6,45,85,113,28.9,90
206,7,0,85,113,28.6,91
207,7,15,85,113,28.5,90
208,7,30,85,113,28.4,88
209,7,45,113,164,27.5,84
210,8,0,113,164,23.9,78
211,8,15,113,164,22.6,75
212,8,30,113,164,22.9,73
213,8,45,119,184,23.3,70
214,9,0,119,184,23.4,65
215,9,15,119,184,23.4,60
216,9,30,119,184,23.2,58
217,9,45,89,154,23.1,52
218,10,0,89,154,23.1,48
219,10,15,89,154,22.7,42
220,10,30,89,154,22.5,38
221,10,45,55,111,22.4,37
222,11,0,55,111,22.4,37
223,11,15,55,111,22.4,36
224,11,30,55,111,22.3,32
225,11,45,37,79,23.1,28
226,12,0,37,79,25.3,27
227,12,15,37,79,26.9,24
228,12,30,37,79,27.6,24
229,12,45,17,55,28.4,25
230,13,0,17,55,28.6,26
231,13,15,17,55,28.8,25
232,13,30,17,55,28.9,25
233,13,45,20,57,28.9,25
234,14,0,20,57,28.9,24
235,14,15,20,57,29.1,23
236,14,30,20,57,29.1,23
237,14,45,17,46,29.2,23
238,15,0,17,46,28.9,24
239,15,15,17,46,28.9,23
240,15,30,17,46,29,24
241,15,45,25,52,28.4,25
242,16,0,25,52,24.9,25
243,16,15,25,52,22.6,26
244,16,30,25,52,21.6,26
245,16,45,27,64,21.6,27
246,17,0,27,64,21.3,27
247,17,15,27,64,21.7,27
248,17,30,27,64,21.7,28
249,17,45,32,88,21.8,28
250,18,0,32,88,22,30
251,18,15,32,88,22.5,32
252,18,30,32,88,22.5,33
253,18,45,61,157,22.6,33
254,19,0,61,157,23,35
255,19,15,61,157,23,36
256,19,30,61,157,23,38
257,19,45,69,164,23.2,40
258,20,0,69,164,25.2,41
259,20,15,69,164,26.7,42
260,20,30,69,164,27.6,44
261,20,45,61,136,28.3,45
262,21,0,61,136,28.7,46
263,21,15,61,136,28.8,48
264,21,30,61,136,29,49
265,21,45,56,116,29,51
266,22,0,56,116,29,53
267,22,15,56,116,29,54
268,22,30,56,116,29.1,55
269,22,45,57,101,29.1,56
270,23,0,57,101,29,57
271,23,15,57,101,29,57
272,23,30,57,101,29,58
273,23,45,50,97,28.8,60
274,0,0,50,97,25.4,61
275,0,15,50,97,22.6,61
276,0,30,50,97,22.7,62
277,0,45,62,107,23.1,61
278,1,0,62,107,23.4,62
279,1,15,62,107,23.5,62
280,1,30,62,107,23.3,64
281,1,45,50,89,23.3,67
282,2,0,50,89,23.4,70
283,2,15,50,89,23.4,72
284,2,30,50,89,23.4,72
285,2,45,50,75,23.3,74
286,3,0,50,75,23.4,73
287,3,15,50,75,23.5,74
288,3,30,50,75,23.3,77
289,3,45,57,82,23.5,80
290,4,0,57,82,25.2,80
291,4,15,57,82,26.9,80
292,4,30,57,82,27.7,81
293,4,45,65,96,28.1,82
294,5,0,65,96,28.5,84
295,5,15,65,96,28.9,83
296,5,30,65,96,29,82
297,5,45,66,96,28.9,80
298,6,0,66,96,29.1,80
299,6,15,66,96,29.1,80
300,6,30,66,96,29.1,82
301,6,45,91,131,29,82
302,7,0,91,131,28.7,81
303,7,15,91,131,28.7,80
304,7,30,91,131,28.6,78
305,7,45,110,162,28.4,70
306,8,0,110,162,25.8,63
307,8,15,110,162,22.9,58
308,8,30,110,162,22.7,55
309,8,45,88,119,23.2,52
310,9,0,88,119,23.3,46
311,9,15,88,119,23.1,44
312,9,30,88,119,23,40
313,9,45,51,105,23,38
314,10,0,51,105,22.8,36
315,10,15,51,105,22.6,35
316,10,30,51,105,22.6,34
317,10,45,39,79,22.4,34
318,11,0,39,79,22.4,32
319,11,15,39,79,22.3,34
320,11,30,39,79,22.2,28
321,11,45,29,84,22.5,25
322,12,0,29,84,24.3,24
323,12,15,29,84,23.6,25
324,12,30,29,84,22,26
325,12,45,34,76,21.5,27
326,13,0,34,76,21.5,26
327,13,15,34,76,21.6,26
328,13,30,34,76,21.3,25
329,13,45,24,60,21.7,24
330,14,0,24,60,21.6,23
331,14,15,24,60,21.7,24
332,14,30,24,60,21.2,25
333,14,45,20,54,20.9,26
334,15,0,20,54,21.3,27
335,15,15,20,54,21.2,27
336,15,30,20,54,20.9,29
337,15,45,31,62,20.8,29
338,16,0,31,62,21.7,29
339,16,15,31,62,24.5,28
340,16,30,31,62,26.4,29
341,16,45,31,84,27.5,30
342,17,0,31,84,28.4,30
343,17,15,31,84,28.9,31
344,17,30,31,84,29.2,32
345,17,45,31,87,29.2,34
346,18,0,31,87,29.2,37
347,18,15,31,87,29.3,39
348,18,30,31,87,29.4,39
349,18,45,54,118,29.3,39
350,19,0,54,118,29.3,40
351,19,15,54,118,29.2,41
352,19,30,54,118,29.1,43
353,19,45,59,125,29.1,44
354,20,0,59,125,28.9,46
355,20,15,59,125,26.1,49
356,20,30,59,125,22.4,52
357,20,45,70,131,22,53
358,21,0,70,131,23,54
359,21,15,70,131,23.2,55
360,21,30,70,131,23.1,56
361,21,45,57,107,23,56
